qid,literal_question_text,themes
qid_cohortdyear10q27b,How do you feel about the following part of your life? The way you look.,Wellbeing
qid_cohortdyear10q27c,How do you feel about the following part of your life? Your family.,"Wellbeing, family, friends and relationships "
qid_cohortdyear10q27d,How do you feel about the following part of your life? Your friends.,"Wellbeing, family, friends and relationships "
qid_cohortdyear10q27e,How do you feel about the following part of your life? Your school overall.,"Wellbeing, school and learning "
qid_cohortdyear10q27f,How do you feel about the following part of your life? Your life as a whole.,Wellbeing
qid_cohortdyear10q28a,How do you feel about having friends of a different skin colour from you?,"Family, friends and relationships "
qid_cohortdyear10q28b,How do you feel about having friends from countries outside of the UK?,"Family, friends and relationships "
qid_cohortdyear10q28c,How do you feel about having friends from Northern Ireland.,"Family, friends and relationships "
qid_cohortdyear10q28d,How do you feel about having friends from Scotland?,"Family, friends and relationships "
qid_cohortdyear10q28e,How do you feel about having friends from England?,"Family, friends and relationships "
qid_cohortdyear10q28f,How do you feel about having friends of a different gender from you?,"Family, friends and relationships "
qid_cohortdyear10q28g,How do you feel about having friends of a different sexual orientation from you?,"Family, friends and relationships "
qid_cohortdyear10q29,"Please put the following items IN ORDER from 1 to 7 according to how ""wrong"" you think they are to do. ""1"" means the least wrong and ""7"" means the most wrong. (Please note, each statement must have a different number from the other statements)",Politics and Society 
qid_cohortdyear10q30,"By the time you are 30 years old, which one of the following would you most like to have achieved?",Confidence and aspirations
qid_cohortdyear10q31a,"When you are an adult, do you think you will live in Wales?",Confidence and aspirations
qid_cohortdyear10q31b,"When you are an adult, do you think you will live in the same neighbourhood as you do now?",Confidence and aspirations
qid_cohortdyear10q31c,"When you are an adult, do you think you will live abroad?",Confidence and aspirations
qid_cohortdyear10q31d,"When you are an adult, do you think you will have a family of your own?",Confidence and aspirations
qid_cohortdyear10q31e,"When you are an adult, do you think you will have graduated from university?",Confidence and aspirations
qid_cohortdyear10q31f,"When you are an adult, do you think you will be financially ""well-off""?",Confidence and aspirations
qid_cohortdyear10q31g,"When you are an adult, do you think you will volunteer some of your time to help others?",Confidence and aspirations
qid_cohortdyear10q31h,"When you are an adult, do you think you will speak Welsh?",Confidence and aspirations
qid_cohortdyear10q31i,"When you are an adult, do you think you will have a job that you will enjoy?",Confidence and aspirations
qid_cohortdyear10q32a,Please list up to three famous people that you most admire in the spaces provided below.,Confidence and aspirations
qid_cohortdyear10q32b,Please list up to three famous people that you most dislike in the spaces provided below.,Confidence and aspirations
qid_cohortdyear10q33,What kind of job do you want when you’re an adult?,Confidence and aspirations
qid_cohortdyear10q34,If someone gave you £1 million today what would you do with it?,Confidence and aspirations
qid_cohortdyear10q35,Please tick the circle next to each subject you are taking for your GCSE/BTEC from the list below:,Confidence and aspirations
qid_cohortdyear10q36,What do you plan to do once you’ve finished Year 11?,Confidence and aspirations
qid_cohortdyear10q37,Please enter your First and Last name in the spaces provided below.,Background variables
qid_cohortdyear10q38,What is your date of birth? (dd/mm/yyyy),Background variables
qid_cohortdyear10q39,Please choose the option that best describes how well you speak Welsh.,Background variables
qid_cohortdyear10q40,What is your gender?,Background variables
qid_cohortdyear10q41,To which of the following groups do you think you belong?,Background variables
qid_cohortdyear10q42,Which of the following best describes you?,Background variables
qid_cohortdyear10q43,"What is your national identity? (e.g. Welsh, English, British, etc)",Background variables
qid_cohortayear2q1,Circle your age below.,Background variables
qid_cohortayear2q2,When is your birthday?,Background variables
qid_cohortayear2q3,Are you a boy or a girl?,Background variables
qid_cohortayear2q4,How much do you like answering questions in class?,School and learning
qid_cohortayear2q5,How much do you like reading?,School and learning
qid_cohortayear2q6,How much do you like writing?,School and learning
qid_cohortayear2q7,How much do you like number work?,School and learning
qid_cohortayear2q8,How much do you like speaking Welsh?,School and learning
qid_cohortayear2q9,How much do you like school?,School and learning
qid_cohortayear2q10,How much do you like your teacher?,School and learning
qid_cohortayear2q11,"When you play outside, what do you like to do most?",Out of school activities and routines
qid_cohortayear2q12,"When you play inside the house, what do you like to do most?",Out of school activities and routines
qid_cohortayear2q13,How much do you like to play sport?,Out of school activities and routines
qid_cohortayear2q14,How often does an adult read to you at home?,Out of school activities and routines
qid_cohortayear2q15,How often do you read with an adult at home?,Out of school activities and routines
qid_cohortayear2q16,Have you ever visited any of these places with your family?,Out of school activities and routines
qid_cohortayear2q17,Have you ever visited any of these places?,Out of school activities and routines
qid_cohortayear2q18,Where do you usually eat breakfast?,"Out of school activities and routines, Wellbeing"
qid_cohortayear2q19,What did you eat for breakfast this morning?,"Out of school activities and routines, Wellbeing"
qid_cohortayear2q20,What do you want to do when you grow up?,Confidence and aspirations
qid_cohortbyear7q1,Please enter your First and Last name in the spaces provided below,Background variables
qid_cohortbyear7q2,Please enter your date of birth in the spaces provided below,Background variables
qid_cohortbyear7q3,Please enter the name of your school in the space provided below,Background variables
qid_cohortbyear7q4a,Please choose the best response from the options below: I have better relationships with my friends than with my family.,"Family, friends and relationships"
qid_cohortbyear7q4b,Please choose the best response from the options below: I have at least one friend that I can really trust.,"Family, friends and relationships"
qid_cohortbyear7q4c,"Please choose the best response from the options below: Overall, my family approves of my friends.","Family, friends and relationships"
qid_cohortbyear7q4d,Please choose the best response from the options below: My family knows what my friends and I do when we’re together.,"Family, friends and relationships"
qid_cohortbyear7q5,Please write one word that best describes the area where you live.,"Family, friends and relationships"
qid_cohortbyear7q6a,"On a scale of 1 to 7 where ‘1’ means completely happy and ‘7’ means not at all happy, how do you feel about the following part of your life? Your school work.","Wellbeing, School and learning "
qid_cohortbyear7q6b,"On a scale of 1 to 7 where ‘1’ means completely happy and ‘7’ means not at all happy, how do you feel about the following part of your life? The way you look.","Family, friends and relationships, Wellbeing"
qid_cohortbyear7q6c,"On a scale of 1 to 7 where ‘1’ means completely happy and ‘7’ means not at all happy, how do you feel about the following part of your life? Your family.","Family, friends and relationships, Wellbeing"
qid_cohortbyear7q6d,"On a scale of 1 to 7 where ‘1’ means completely happy and ‘7’ means not at all happy, how do you feel about the following part of your life? Your friends.","Family, friends and relationships, Wellbeing"
qid_cohortbyear7q6e,"On a scale of 1 to 7 where ‘1’ means completely happy and ‘7’ means not at all happy, how do you feel about the following part of your life? Your school overall.","Wellbeing, School and learning "
qid_cohortbyear7q6f,"On a scale of 1 to 7 where ‘1’ means completely happy and ‘7’ means not at all happy, how do you feel about the following part of your life? Your life as a whole.",Wellbeing
qid_cohortbyear7q7,How many of your primary school friends have moved up with you to your new secondary school?,School and learning
qid_cohortbyear7q8,Which of the following choices best describes your feelings about leaving primary school and coming to secondary school?,School and learning
qid_cohortbyear7q9a,Please choose the best response from the options below: Moving up from primary school to secondary school was stressful.,School and learning
qid_cohortbyear7q9b,"Please choose the best response from the options below: When I was in primary school, I looked forward to coming to secondary school.",School and learning
qid_cohortbyear7q9c,"Please choose the best response from the options below: Overall, I like primary school better than secondary school.",School and learning
qid_cohortbyear7q9d,Please choose the best response from the options below: I made a lot of new friends when I came to secondary school.,"School and learning, Family, friends and relationships "
qid_cohortbyear7q9e,Please choose the best response from the options below: I have seen some of my primary school friends since I went to secondary school.,"School and learning, Family, friends and relationships "
qid_cohortbyear7q10a,Please state how much you agree or disagree with the following statement. “ School is a place where I feel safe at school.,School and learning
qid_cohortbyear7q10b,"Please state how much you agree or disagree with the following statement. “ School is a place where I feel like I ""belong"".",School and learning
qid_cohortbyear7q10c,Please state how much you agree or disagree with the following statement. “ School is a place where my teachers treat me with respect.,School and learning
qid_cohortbyear7q10d,Please state how much you agree or disagree with the following statement. “ School is a place where my teachers are fair to me.,School and learning
qid_cohortbyear7q11,Please write one word that best describes your secondary school.,School and learning
qid_cohortbyear7q12a,Please state what you like most about secondary school.,School and learning
qid_cohortbyear7q12b,Please state what you dislike most about secondary school.,School and learning
qid_cohortbyear7q13d,Please choose the best response from the options below: My views are listened to and taken seriously by school staff.,School and learning
qid_cohortbyear7q13e,lease choose the best response from the options below: My school rewards pupils who receive good marks or make good progress.,School and learning
qid_cohortbyear7q13a,Please choose the best response from the options below: My school cares about how much I improve in my studies.,School and learning
qid_cohortbyear7q13b,Please choose the best response from the options below: The school staff have high expectations of me.,School and learning
qid_cohortbyear7q13c,Please choose the best response from the options below: The teaching staff set goals I can easily achieve.,School and learning
qid_cohortbyear7q13f,Please choose the best response from the options below: My teachers know me well.,School and learning
qid_cohortbyear7q14a,"Please choose the best response from the options below: Overall, I feel I make a good effort in class.",School and learning
qid_cohortbyear7q14b,Please choose the best response from the options below: The school staff make school fun.,School and learning
qid_cohortbyear7q14c,"Please choose the best response from the options below: Overall, I like the school staff.",School and learning
qid_cohortbyear7q14d,Please choose the best response from the options below: School helps me appreciate living in Wales.,School and learning
qid_cohortbyear7q14e,Please choose the best response from the options below: School helps me develop my own sense of Welshness.,"School and learning, Politics and Society "
qid_cohortbyear7q14f,Please choose the best response from the options below: School helps increase my interest in the politics of Wales.,"School and learning, Politics and Society "
qid_cohortbyear7q15a,What is your favourite subject?,School and learning
qid_cohortbyear7q15b,Why is this your favourite subject?,School and learning
qid_cohortbyear7q16a,How much do you like the following subject at school? Art.,School and learning
qid_cohortbyear7q16b,How much do you like the following subjects at school? Design & Technology.,School and learning
qid_cohortbyear7q16c,How much do you like the following subjects at school? English.,School and learning
qid_cohortbyear7q16d,How much do you like the following subjects at school? Foreign Languages.,School and learning
qid_cohortbyear7q16e,How much do you like the following subjects at school? Geography.,School and learning
qid_cohortbyear7q16f,How much do you like the following subjects at school? History.,School and learning
qid_cohortbyear7q16g,How much do you like the following subjects at school? ICT.,School and learning
qid_cohortbyear7q16h,How much do you like the following subjects at school? Maths.,School and learning
qid_cohortbyear7q16i,How much do you like the following subjects at school? Music.,School and learning
qid_cohortbyear7q16j,How much do you like the following subjects at school? P.E.,School and learning
qid_cohortbyear7q16k,How much do you like the following subjects at school? Religious Education.,School and learning
qid_cohortbyear7q16l,How much do you like the following subjects at school? Science.,School and learning
qid_cohortbyear7q16m,How much do you like the following subjects at school? Welsh.,School and learning
qid_cohortbyear7q17,"Please tick the boxes next to the subjects that you receive private tuition in. If you don’t receive private tuition in any of these subjects, please skip this question.","School and learning, Out of school activities and routines "
qid_cohortbyear7q18a,Please state how much you think each of the following activity helps you learn: taking notes while the teacher talks.,School and learning
qid_cohortbyear7q18b,Please state how much you think each of the following activity helps you learn: working in a group.,School and learning
qid_cohortbyear7q18c,Please state how much you think each of the following activity helps you learn: working individually.,School and learning
qid_cohortbyear7q18d,Please state how much you think each of the following activity helps you learn: working on projects with detailed instructions.,School and learning
qid_cohortbyear7q18e,Please state how much you think each of the following activity helps you learn: working on projects without detailed instructions.,School and learning
qid_cohortbyear7q18f,Please state how much you think each of the following activity helps you learn: working on projects that involve a lot of class or group discussion.,School and learning
qid_cohortbyear7q18g,Please state how much you think each of the following activity helps you learn: working in projects that involve getting up out of your seat or going outside.,School and learning
qid_cohortbyear7q18h,Please state how much you think each of the following activity helps you learn: homework.,School and learning
qid_cohortbyear7q19b,Do you bully other pupils at school?,Wellbeing
qid_cohortbyear7q19c,Are you bullied outside of school?,Wellbeing
qid_cohortbyear7q19d,Do you bully others outside of school?,Wellbeing
qid_cohortbyear7q19a,Are you bullied at school?,Wellbeing
qid_cohortbyear7q20a,What social networking website do you use the most?,"Wellbeing, Out of school activities and routines "
qid_cohortbyear7q20b,How many days in a typical week do you use the website?,"Wellbeing, Out of school activities and routines "
qid_cohortbyear7q20c,How many days in a typical week are you bullied using the website?,Wellbeing
qid_cohortbyear7q20d,How many days in a typical week do you bully others using the website?,Wellbeing
qid_cohortbyear7q20e,What social networking app do you use the most?,Wellbeing
qid_cohortbyear7q20f,How many days in a typical week do you use the app?,Wellbeing
qid_cohortbyear7q20g,How many days in a typical week are you bullied using the app?,Wellbeing
qid_cohortbyear7q20h,How many days in a typical week do you bully others using the app?,Wellbeing
qid_cohortbyear7q21a,Please state how much you agree with the following statement: I am more confident speaking in Welsh now than I was at primary school.,Confidence and aspirations
qid_cohortbyear7q21b,Please state how much you agree with the following statement: I am more confident writing in Welsh now than I was at primary school.,Confidence and aspirations
qid_cohortbyear7q21c,Please state how much you agree with the following statement: I am more confident reading in Welsh now than I was at primary school.,Confidence and aspirations
qid_cohortbyear7q22a,How often do you do the following outside of school? Speak Welsh with family.,Politics and Society
qid_cohortbyear7q22b,How often do you do the following outside of school? Speak Welsh with friends.,Politics and Society
qid_cohortbyear7q22c,How often do you do the following outside of school? Read Welsh books or magazines.,Politics and Society
qid_cohortbyear7q22d,How often do you do the following outside of school? Watch Welsh TV or listen to Welsh radio.,Politics and Society
qid_cohortbyear7q22e,How often do you do the following outside of school? Visit Welsh websites.,Politics and Society
qid_cohortbyear7q23a,"Please state how much you agree with the following statement: If I could live anywhere in the world, I would live in Wales.",Politics and Society
qid_cohortbyear7q23b,Please state how much you agree with the following statement: I feel Wales is my real home.,Politics and Society
qid_cohortbyear7q23c,"Please state how much you agree with the following statement: I live in Wales, but I don't particularly feel Welsh.",Politics and Society
qid_cohortbyear7q24a,How important do you think it is for you to learn Welsh?,"Politics and Society, Confidence and aspirations"
qid_cohortbyear7q24b,How important do you think it is for you to speak Welsh?,"Politics and Society, Confidence and aspirations"
qid_cohortbyear7q24c,How important do you think it is for Welsh to remain a living language?,Politics and Society
qid_cohortbyear7q25a,Do you get up for school at the same time every day?,"Out of school activities and routines, Wellbeing"
qid_cohortbyear7q25b,Do you got to bed at the same time every day?,"Out of school activities and routines, Wellbeing"
qid_cohortbyear7q26,About what time did you get up to get ready for school today?,"Out of school activities and routines, Wellbeing"
qid_cohortbyear7q27,About what time did you go to bed last night?,"Out of school activities and routines, Wellbeing"
qid_cohortbyear7q28a,About how much money per week do you get from the following source? Pocket money.,Out of school activities and routines
qid_cohortbyear7q28b,About how much money per week do you get from the following source? Paid employment.,Out of school activities and routines
qid_cohortbyear7q28c,About how much money per week do you get from the following source? Chores at home.,Out of school activities and routines
qid_cohortbyear7q28d,About how much money per week do you get from the following source? Other.,Out of school activities and routines
qid_cohortbyear7q29,What is the one thing you spend most of your money on?,Out of school activities and routines
qid_cohortbyear7q30a,"When you are an adult, do you think you will live in Wales?",Confidence and aspirations
qid_cohortbyear7q30b,"When you are an adult, do you think you will live in the same neighbourhood as you do now?",Confidence and aspirations
qid_cohortbyear7q30c,"When you are an adult, do you think you will live abroad (i.e. in another country)?",Confidence and aspirations
qid_cohortbyear7q30d,"When you are an adult, do you think you will have a family of your own?",Confidence and aspirations
qid_cohortbyear7q30e,"When you are an adult, do you think you will have graduated from university?",Confidence and aspirations
qid_cohortbyear7q30f,"When you are an adult, do you think you will be financially “well-off”?",Confidence and aspirations
qid_cohortbyear7q30g,"When you are an adult, do you think you will volunteer some of your time to help others?",Confidence and aspirations
qid_cohortbyear7q30h,"When you are an adult, do you think you will speak Welsh?",Confidence and aspirations
qid_cohortbyear7q30i,"When you are an adult, do you think you will have a job that you will enjoy?",Confidence and aspirations
qid_cohortbyear7q31,Do you plan to stay in full-time education when you are 16?,Confidence and aspirations
qid_cohortbyear7q32,What job do you think you’ll have when you grow up?,Confidence and aspirations
qid_cohortbyear7q33,o which of the following groups do you think you belong?,Background variables
qid_cohortbyear7q34,"What is your national identity (e.g. Welsh, English, British, etc)?",Background variables
qid_cohortcyear9q1,Please enter your First and Last name in the spaces provided below.,Background variables
qid_cohortcyear9q2,Please enter your date of birth in the spaces provided below.,Background variables
qid_cohortcyear9q3,Pkease enter the name of your school in the space provided below.,Background variables
qid_cohortcyear9q4a,"If your family had to describe you in just one word, what word do you think they would use?",Background variables
qid_cohortcyear9q4b,"If your teachers had to describe you in just one word, what word do you think they would use?",Background variables
qid_cohortcyear9q4c,"If your best friends had to describe you in just one word, what word do you think they would use?",Background variables
qid_cohortcyear9q4d,"If a stranger you've just met had to describe you in just one word, what word do you think they would use?",Background variables
qid_cohortcyear9q5,What is the best advice you have ever received?,Background variables
qid_cohortcyear9q6a,What is your greatest thing you hope to achieve this year?,Background variables
qid_cohortcyear9q6b,What is your greatest thing you hope to achieve in your life?,Background variables
qid_cohortcyear9q7,What is your greatest fear?,Background variables
qid_cohortcyear9q8a,"8. On a scale of 1 to 7 where ‘1’ means completely happy and ‘7’ means not at all happy, how do you feel about the following part of your life? Your school work.",Wellbeing
qid_cohortcyear9q8b,"On a scale of 1 to 7 where ‘1’ means completely happy and ‘7’ means not at all happy, how do you feel about the following part of your life? The way you look.",Wellbeing
qid_cohortcyear9q8c,"On a scale of 1 to 7 where ‘1’ means completely happy and ‘7’ means not at all happy, how do you feel about the following part of your life? Your family.",Wellbeing
qid_cohortcyear9q8d,"On a scale of 1 to 7 where ‘1’ means completely happy and ‘7’ means not at all happy, how do you feel about the following part of your life? Your friends.",Wellbeing
qid_cohortcyear9q8e,"On a scale of 1 to 7 where ‘1’ means completely happy and ‘7’ means not at all happy, how do you feel about the following part of your life? Your school overall.",Wellbeing
qid_cohortcyear9q8f,"On a scale of 1 to 7 where ‘1’ means completely happy and ‘7’ means not at all happy, how do you feel about the following part of your life? Your life as a whole.",Wellbeing
qid_cohortcyear9q9a,"How much do you agree or disagree with the following statement about you? On the whole, I am satisfied with myself.",Wellbeing
qid_cohortcyear9q9b,How much do you agree or disagree with the following statement about you? I feel that I have a number of good qualities.,Wellbeing
qid_cohortcyear9q9c,How much do you agree or disagree with the following statement about you? I am able to do things as well as most other people.,Wellbeing
qid_cohortcyear9q9d,How much do you agree or disagree with the following statement about you? I am a person of value.,Wellbeing
qid_cohortcyear9q9e,How much do you agree or disagree with the following statement about you? I feel good about myself.,Wellbeing
qid_cohortcyear9q10a,What is your favourite subject this year?,School and learning
qid_cohortcyear9q10b,Why is this your favourite subject this year?,School and learning
qid_cohortcyear9q11,Approximately how many hours per week do you spend doing homework?,School and learning
qid_cohortcyear9q12a,Please state how much you agree or disagree with the following statement: my friends help/advise me with my homework.,School and learning
qid_cohortcyear9q12b,Please state how much you agree or disagree with the following statement: my parents make sure I do my homework.,School and learning
qid_cohortcyear9q12c,Please state how much you agree or disagree with the following statement: my teachers make sure I do my homework.,School and learning
qid_cohortcyear9q12d,Please state how much you agree or disagree with the following statement: doing homework helps me learn.,School and learning
qid_cohortcyear9q13a,How often do you miss a lesson during a school day?,School and learning
qid_cohortcyear9q13b,How often do you miss more than one lesson during a school day?,School and learning
qid_cohortcyear9q13c,How often do you miss all lessons during a school day?,School and learning
qid_cohortcyear9q14,"Truancy (sometimes called “dodging” or “skiving”) is defined as the following: 
a) Absent from school without an excuse by a parent/guardian 
b) Leaving school or a class without permission of the teacher or administrator.",School and learning
qid_cohortcyear9q15a,Please state how much you agree or disagree with the following statements: My school is a place where my teachers are fair to me.,School and learning
qid_cohortcyear9q15b,Please state how much you agree or disagree with the following statements: My school is a place where I am lonely.,"School and learning, Wellbeing"
qid_cohortcyear9q15c,Please state how much you agree or disagree with the following statements: My school is a place where I am a successful pupil.,School and learning
qid_cohortcyear9q15d,Please state how much you agree or disagree with the following statements: My school is a place where other pupils accept me as I am.,School and learning
qid_cohortcyear9q15e,Please state how much you agree or disagree with the following statements: My school is a place where I feel worried.,"School and learning, Wellbeing"
qid_cohortcyear9q15f,Please state how much you agree or disagree with the following statements: My school is a place where my teachers treat me with respect.,School and learning
qid_cohortcyear9q15g,Please state how much you agree or disagree with the following statements: My school is a place where I feel like I belong.,"School and learning, Wellbeing"
qid_cohortcyear9q15h,Please state how much you agree or disagree with the following statements: My school is a place where my teachers know me well.,School and learning
qid_cohortcyear9q16,What is one piece of advice you would give a new teacher at your school?,School and learning
qid_cohortcyear9q17a,"Please state how much you agree or disagree with the following statement: if I have a personal problem at school, I know where to go for help.",School and learning
qid_cohortcyear9q17b,"Please state how much you agree or disagree with the following statement: if I have a personal problem at school, I can trust the school will help me.",School and learning
qid_cohortcyear9q17c,Please state how much you agree or disagree with the following statement: my school deals with pupil conflicts well.,School and learning
qid_cohortcyear9q17d,Please state how much you agree or disagree with the following statement: my school deals with bullying well.,School and learning
qid_cohortcyear9q17e,Please state how much you agree or disagree with the following statement: my school deals with pupils' poor behaviour well.,School and learning
qid_cohortcyear9q18a,Are you bullied at school?,Wellbeing
qid_cohortcyear9q18b,Do you bully other pupils at school?,Wellbeing
qid_cohortcyear9q18c,Are you bullied outside of school?,Wellbeing
qid_cohortcyear9q18d,do you bully others outside of school?,Wellbeing
qid_cohortcyear9q19a,"If you saw someone being bullied at school, how likely is it you would you do the following? Step in to help them.",Wellbeing
qid_cohortcyear9q19b,"If you saw someone being bullied at school, how likely is it you would you do the following? Join in and bully too.",Wellbeing
qid_cohortcyear9q19c,"If you saw someone being bullied at school, how likely is it you would you do the following? Get help from a teacher.",Wellbeing
qid_cohortcyear9q19d,"If you saw someone being bullied at school, how likely is it you would you do the following? Ignore them and move on.",Wellbeing
qid_cohortcyear9q20a,What social networking website do you use the most?,Wellbeing
qid_cohortcyear9q20b,How many days in a typical week do you use the website?,Wellbeing
qid_cohortcyear9q20c,How many days in a typical week are you bullied using the website?,Wellbeing
qid_cohortcyear9q20d,How many days in a typical week do you bully others using the website?,Wellbeing
qid_cohortcyear9q21a,What social networking app do you use the most?,Wellbeing
qid_cohortcyear9q21b,How many days in a typical week do you use the app?,Wellbeing
qid_cohortcyear9q21c,How many days in a typical week are you bullied using the app?,Wellbeing
qid_cohortcyear9q21d,How many days in a typical week do you bully others using the app.,Wellbeing
qid_cohortcyear9q22a,How much do you agree or disagree with the following statement: in the past two weeks I felt miserable or unhappy.,Wellbeing
qid_cohortcyear9q22b,How much do you agree or disagree with the following statement: in the past two weeks I have been having fun.,Wellbeing
qid_cohortcyear9q22c,How much do you agree or disagree with the following statement: in the past two weeks I didn't enjoy anything at all.,Wellbeing
qid_cohortcyear9q22d,How much do you agree or disagree with the following statement: in the past two weeks I felt so tired that I just sat around and did nothing.,Wellbeing
qid_cohortcyear9q22e,How much do you agree or disagree with the following statement: in the past two weeks I was very restless.,Wellbeing
qid_cohortcyear9q22f,How much do you agree or disagree with the following statement: in the past two weeks I felt I was no good anymore.,Wellbeing
qid_cohortcyear9q22g,How much do you agree or disagree with the following statement: in the past two weeks I cried a lot.,Wellbeing
qid_cohortcyear9q22h,How much do you agree or disagree with the following statement: in the past two weeks I felt happy.,Wellbeing
qid_cohortcyear9q22i,How much do you agree or disagree with the following statement: in the past two weeks I found it hard to think properly or concentrate.,Wellbeing
qid_cohortcyear9q22j,How much do you agree or disagree with the following statement: in the past two weeks I hated myself.,Wellbeing
qid_cohortcyear9q22k,How much do you agree or disagree with the following statement: in the past two weeks I e njoyed doing lots of things.,Wellbeing
qid_cohortcyear9q22l,How much do you agree or disagree with the following statement: in the past two weeks I felt I was a bad person.,Wellbeing
qid_cohortcyear9q22m,How much do you agree or disagree with the following statement: in the past two weeks I felt lonely.,Wellbeing
qid_cohortcyear9q23b,About how much money per week do you get from the following source? Paid employment.,Politics and Society
qid_cohortcyear9q23c,About how much money per week do you get from the following source? Chores at home.,Politics and Society
qid_cohortcyear9q23a,About how much money per week do you get from the following source? Pocket money.,Politics and Society
qid_cohortcyear9q24,What is the one thing you spend most of your money on?,Politics and Society
qid_cohortcyear9q25a,Please state how much you agree with the following statement: I am more confident speaking Welsh now than I was a year ago.,Politics and Society
qid_cohortcyear9q25b,Please state how much you agree with the following statement: I am more confident writing Welsh now than I was a year ago.,Politics and Society
qid_cohortcyear9q25c,Please state how much you agree with the following statement: I am more confident reading Welsh now than I was a year ago.,Politics and Society
qid_cohortcyear9q26a,How often do you do the following outside of school? Speak Welsh with family.,Politics and Society
qid_cohortcyear9q26b,How often do you do the following outside of school? Speak Welsh with friends.,Politics and Society
qid_cohortcyear9q26c,How often do you do the following outside of school? Read Welsh books or magazines?,Politics and Society
qid_cohortcyear9q26d,How often do you do the following outside of school? Watch Welsh TV or listen to Welsh radio?,Politics and Society
qid_cohortcyear9q26e,How often do you do the following outside of school? Visit Welsh websites.,Politics and Society
qid_cohortcyear9q27a,"Please state how much you agree with the following statement: If I could live anywhere in the world, I would live in Wales.",Politics and Society
qid_cohortcyear9q27b,Please state how much you agree with the following statement: I feel Wales is my real home.,Politics and Society
qid_cohortcyear9q27c,"Please state how much you agree with the following statement: I live in Wales, but I don't particularly feel Welsh.",Politics and Society
qid_cohortdyear11q1,Please enter your First and Last name in the spaces provided below.,Background variables
qid_cohortdyear11q2,Please enter your date of birth in the spaces provided below.,Background variables
qid_cohortdyear11q3,Please enter the name of your school in the space provided below.,Background variables
qid_cohortdyear11q4,Please indicate which GCSE subjects you are doing this year.,School and learning
qid_cohortdyear11q5,"If you are doing the Welsh Baccalaureate, which level are you doing?",School and learning
qid_cohortdyear11q6,"If you are doing qualifications/certificates in addition to GCSEs, such as BTECs or NVQs, please list them below. Please indicate what grades you expect to get in each course.",School and learning
qid_cohortdyear11q7a,What is your favourite subject this year?,School and learning
qid_cohortdyear11q7b,Why is this your favourite subject?,School and learning
qid_cohortdyear11q8,Approximately how many hours a week do you spend doing homework?,School and learning
qid_cohortdyear11q9a,Please state to what extent you agree or disagree with the following statement: I am more confident speaking in Welsh than I was a year ago.,"Politics and Society, School and learning "
qid_cohortdyear11q9b,Please state to what extent you agree or disagree with the following statement: I am more confident writing in Welsh than I was a year ago.,"Politics and Society, School and learning "
qid_cohortdyear11q9c,Please state to what extent you agree or disagree with the following statement: I am more confident reading in Welsh than I was a year ago.,"Politics and Society, School and learning "
qid_cohortdyear11q10a,How often do you do the following outside school? Speak Welsh with friends and/or family.,"Family, friends and relationships, Out of school activities and routines  "
qid_cohortdyear11q10b,How often do you do the following outside school? Read Welsh books or magazines?,"Family, friends and relationships, Out of school activities and routines  "
qid_cohortdyear11q10c,How often do you do the following outside school? Watch Welsh TV or listen to Welsh radio?,"Family, friends and relationships, Out of school activities and routines  "
qid_cohortdyear11q10d,How often do you do the following outside school? Surf Welsh websites.,"Family, friends and relationships, Out of school activities and routines  "
qid_cohortdyear11q11,"Please tick the box next to the subjects that you receive private tuition in. If you don't receive tuition in any of these subjects, please skip this question.",School and learning
qid_cohortdyear11q12,Please indicate what you will be doing after year 11.,Confidence and aspirations
qid_cohortdyear11q13,"If you are staying in education, or doing an apprenticeship, where will you be doing your courses after year 11.",Confidence and aspirations
qid_cohortdyear11q14a,Are you thinking about applying for university?,Confidence and aspirations
qid_cohortdyear11q14b,"If you are, which one(s) are you considering applying to?",Confidence and aspirations
qid_cohortdyear11q14c,What subject(s) would you like to study?,Confidence and aspirations
qid_cohortdyear11q15c,To what extent has the following influenced your thoughts about what you will be doing next? Friends.,Confidence and aspirations
qid_cohortdyear11q15d,To what extent has the following influenced your thoughts about what you will be doing next? Teachers at school.,Confidence and aspirations
qid_cohortdyear11q15a,To what extent has the following influenced your thoughts about what you will be doing next? Parents.,Confidence and aspirations
qid_cohortdyear11q15b,To what extent have the following influenced your thoughts about what you will be doing next? Brothers/sisters.,Confidence and aspirations
qid_cohortdyear11q15e,To what extent have the following influenced your thoughts about what you will be doing next? Careers teachers.,Confidence and aspirations
qid_cohortdyear11q15f,To what extent have the following influenced your thoughts about what you will be doing next? Further education college staff?,Confidence and aspirations
qid_cohortdyear11q15g,"To what extent have the following influenced your thoughts about what you will be doing next? ""Careers Wales"".",Confidence and aspirations
qid_cohortdyear11q15h,To what extent has the following influenced your thoughts about what you will be doing next? An employment agency.,Confidence and aspirations
qid_cohortdyear11q16,What would be your ideal job?,Confidence and aspirations
qid_cohortdyear11q17,How likely do you think it is that you will get this job?,Confidence and aspirations
qid_cohortdyear11q18,How much do you think you will earn in this job?,Confidence and aspirations
qid_cohortdyear11q19a,How often do you work for an employer?,Out of school activities and routines
qid_cohortdyear11q19b,How often do you do voluntary work?,Out of school activities and routines
qid_cohortdyear11q19c,How often do you do chores at home?,Out of school activities and routines
qid_cohortdyear11q19d,"How often do you do occasional work for pocket money (chores, work in family business, farm etc).",Out of school activities and routines
